iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2004	0.9982	847	127	None	-0.7156	-1.6336	-1.3306	11.6674	3.0499	"{""0"": 127, ""10"": 14, ""-1"": 847}"	16.7924
3002	0.9973	880	111	None	-0.8116	-0.3345	-0.695	6.8808	2.4205	"{""0"": 111, ""10"": 7, ""-1"": 880}"	25.0577
4018	0.9964	876	131	None	-0.7736	-1.2855	-1.4437	12.4786	3.0082	"{""0"": 131, ""10"": 9, ""-1"": 876}"	33.548
5004	0.9955	845	131	None	-0.7556	-0.8651	-0.8337	21.6399	3.9446	"{""0"": 131, ""10"": 10, ""-1"": 845}"	41.6943
6019	0.9946	871	130	None	-0.7202	-1.187	-1.1181	50.2653	5.9946	"{""0"": 130, ""10"": 14, ""-1"": 871}"	50.5703
7013	0.9937	877	106	None	-0.7716	-0.9884	-1.1281	54.2787	5.8997	"{""0"": 106, ""10"": 11, ""-1"": 877}"	58.7566
8018	0.9928	845	147	None	-0.7114	-1.1875	-1.1569	100.8899	7.883	"{""0"": 147, ""10"": 13, ""-1"": 845}"	67.2271
9001	0.9919	842	128	None	-0.7243	-0.7594	-1.2194	148.2398	9.7445	"{""0"": 128, ""10"": 13, ""-1"": 842}"	75.4269
10010	0.991	885	114	None	-0.778	-1.1044	-1.0993	141.3592	8.5548	"{""0"": 114, ""10"": 10, ""-1"": 885}"	83.8001
11013	0.9901	849	143	None	-0.7368	-1.3166	-1.3087	206.1295	10.3599	"{""0"": 143, ""10"": 11, ""-1"": 849}"	92.196
12014	0.9892	858	133	None	-0.7572	-0.8719	-1.1844	268.8146	10.7257	"{""0"": 133, ""10"": 10, ""-1"": 858}"	100.6033
13004	0.9883	885	100	None	-0.8434	-1.0898	-1.3206	154.63	7.0011	"{""0"": 100, ""10"": 5, ""-1"": 885}"	108.719
14013	0.9874	874	126	None	-0.777	-1.3226	-1.0044	316.6757	11.4515	"{""0"": 126, ""10"": 9, ""-1"": 874}"	116.9854
15005	0.9865	867	116	None	-0.7833	-0.9133	-0.87	360.7026	12.7154	"{""0"": 116, ""10"": 9, ""-1"": 867}"	125.2096
16001	0.9856	846	143	None	-0.7791	-1.0898	-1.0287	315.063	10.919	"{""0"": 143, ""10"": 7, ""-1"": 846}"	133.4348
17010	0.9847	873	121	None	-0.7166	-1.3593	-1.2125	636.8454	20.6595	"{""0"": 121, ""10"": 15, ""-1"": 873}"	142.3032
18001	0.9838	865	116	None	-0.7719	-1.1644	-0.8494	475.5998	15.0374	"{""0"": 116, ""10"": 10, ""-1"": 865}"	150.417
19017	0.9829	893	114	None	-0.7904	-1.1031	-1.1606	453.5538	13.6968	"{""0"": 114, ""10"": 9, ""-1"": 893}"	158.8317
20001	0.982	851	120	None	-0.7327	-1.122	-0.95	643.867	19.0556	"{""0"": 120, ""10"": 13, ""-1"": 851}"	167.4111
21002	0.9811	875	121	None	-0.8242	-1.8656	-1.6119	278.707	8.8271	"{""0"": 121, ""10"": 5, ""-1"": 875}"	175.4414
22001	0.9802	873	120	None	-0.8138	-1.2138	-0.8106	389.9697	10.8749	"{""0"": 120, ""10"": 6, ""-1"": 873}"	183.6478
23018	0.9793	868	136	None	-0.7257	-0.8375	-1.0819	826.181	22.5522	"{""0"": 136, ""10"": 13, ""-1"": 868}"	192.8815
24001	0.9784	847	126	None	-0.7599	-1.2549	-1.1531	755.5056	17.8523	"{""0"": 126, ""10"": 10, ""-1"": 847}"	201.3331
25010	0.9775	875	124	None	-0.7681	-1.3417	-1.3725	826.5891	18.882	"{""0"": 124, ""10"": 10, ""-1"": 875}"	209.9968
26010	0.9766	849	138	None	-0.719	-0.8422	-0.9287	1043.8284	23.0535	"{""0"": 138, ""10"": 13, ""-1"": 849}"	218.6297
27001	0.9757	803	164	None	-0.5681	-1.0849	-0.9612	1675.1713	38.1313	"{""0"": 164, ""10"": 24, ""-1"": 803}"	228.0347
28007	0.9748	869	122	None	-0.7147	-1.1354	-1.0837	1047.4634	23.6001	"{""0"": 122, ""10"": 15, ""-1"": 869}"	236.9891
29004	0.9739	847	129	None	-0.6389	-0.8208	-0.8512	1446.5775	33.4856	"{""0"": 129, ""10"": 21, ""-1"": 847}"	246.1926
30014	0.973	870	116	None	-0.6238	-1.1917	-0.88	1413.5238	31.9987	"{""0"": 116, ""10"": 24, ""-1"": 870}"	255.9667
31002	0.9721	841	130	None	-0.6791	-1.0367	-0.8194	1168.3238	25.2142	"{""0"": 130, ""10"": 17, ""-1"": 841}"	264.6014
32010	0.9712	856	133	None	-0.6607	-1.2224	-1.3331	1322.1643	28.7072	"{""0"": 133, ""10"": 19, ""-1"": 856}"	273.4758
33018	0.9703	852	143	None	-0.7163	-0.9156	-0.9794	940.903	21.4366	"{""0"": 143, ""10"": 13, ""-1"": 852}"	282.2201
34009	0.9694	845	139	None	-0.782	-0.9787	-1.0944	539.6581	13.2135	"{""0"": 139, ""10"": 7, ""-1"": 845}"	290.7745
35009	0.9685	854	133	None	-0.724	-1.339	-1.0469	944.3484	20.6751	"{""0"": 133, ""10"": 13, ""-1"": 854}"	299.765
