iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2007	0.9821	270	719	None	-0.1397	-0.3557	-0.3931	16.3241	2.6177	{"0": 719, "10": 13, "-1": 270}	293.3656
3003	0.9731	208	769	None	-0.0181	-0.1529	0.0232	19.8445	3.2866	{"0": 769, "10": 19, "-1": 208}	442.7452
4014	0.964	252	744	None	-0.1009	-0.4507	-0.4106	18.5568	2.7817	{"0": 744, "10": 15, "-1": 252}	595.4131
5008	0.955	256	728	None	-0.1569	-0.298	-0.3806	13.9617	2.1363	{"0": 728, "10": 10, "-1": 256}	725.4143
6008	0.9461	213	774	None	-0.083	-0.2852	-0.4562	22.8786	2.9735	{"0": 774, "10": 13, "-1": 213}	855.0889
7014	0.937	262	723	None	-0.0517	-0.2629	-0.1544	46.0045	4.4003	{"0": 723, "10": 21, "-1": 262}	989.5636
8009	0.9281	196	780	None	-0.006	-0.0187	-0.075	34.8111	3.7438	{"0": 780, "10": 19, "-1": 196}	1122.6215
9002	0.9191	203	774	None	-0.0433	0.011	-0.035	27.0499	2.8645	{"0": 774, "10": 16, "-1": 203}	1253.6702
10004	0.9101	223	762	None	-0.0529	-0.2757	-0.1906	23.6569	3.2874	{"0": 762, "10": 17, "-1": 223}	1387.0377
11004	0.9011	224	753	None	0.006	-0.0047	0.0257	42.0764	3.5716	{"0": 753, "10": 23, "-1": 224}	1521.6612
12002	0.8921	209	768	None	0.001	-0.5848	-0.4056	29.7429	3.6064	{"0": 768, "10": 21, "-1": 209}	1655.6078
13001	0.8831	206	780	None	-0.0761	-0.484	-0.4406	21.7679	2.387	{"0": 780, "10": 13, "-1": 206}	1786.9352
14003	0.8741	212	769	None	-0.002	-0.1635	0.1119	33.1192	3.2255	{"0": 769, "10": 21, "-1": 212}	1920.7062
15003	0.8651	220	757	None	0.01	-0.2299	-0.0525	33.3666	3.283	{"0": 757, "10": 23, "-1": 220}	2053.6289
16014	0.856	180	803	None	0.0989	-0.1812	0.0569	24.0906	2.9351	{"0": 803, "10": 28, "-1": 180}	2192.575
17005	0.8471	208	750	None	0.1231	-0.2614	-0.1318	20.9267	2.2443	{"0": 750, "10": 33, "-1": 208}	2329.9738
18003	0.838	186	782	None	0.1142	-0.176	-0.0643	9.9278	1.5127	{"0": 782, "10": 30, "-1": 186}	2465.3495
19011	0.829	183	787	None	0.1954	-0.3618	-0.3237	15.7331	0.9212	{"0": 787, "10": 38, "-1": 183}	2603.7447
20007	0.8201	203	777	None	-0.0432	-0.1185	-0.1	6.6847	1.2596	{"0": 777, "10": 16, "-1": 203}	2737.1358
21002	0.811	206	762	None	0.0643	-0.3042	-0.2037	11.1538	2.14	{"0": 762, "10": 27, "-1": 206}	2872.1357
22009	0.8021	232	755	None	-0.0318	-0.1677	-0.1994	6.5464	2.6398	{"0": 755, "10": 20, "-1": 232}	3016.0525
23009	0.7931	231	756	None	-0.101	-0.3041	-0.3306	4.3272	4.3838	{"0": 756, "10": 13, "-1": 231}	3152.4537
24000	0.7841	203	781	None	-0.1342	-0.0635	0.0332	3.9472	5.7815	{"0": 781, "10": 7, "-1": 203}	3290.1101
25003	0.7751	195	803	None	-0.1446	-0.071	-0.05	4.8682	6.6182	{"0": 803, "10": 5, "-1": 195}	3424.9572
