iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
502	0.9825	0.0	501	1	0.002	-0.2883	-0.7694	0.0611	0.1343	{"0": 501, "1": 1}	106.9203
1000	0.9645	0.0	496	2	0.004	-0.4496	-0.6744	0.0074	0.0335	{"0": 496, "1": 2}	252.3441
1501	0.9465	0.0	500	1	0.002	-0.4137	-0.85	0.0057	0.0299	{"0": 500, "1": 1}	403.8576
2014	0.928	0.0	508	5	0.0097	-0.1694	-0.1456	0.0131	0.0552	{"0": 508, "1": 5}	558.3202
2505	0.9104	0.0	486	5	0.0102	-0.1722	-0.0912	0.0226	0.0566	{"0": 486, "1": 5}	704.1422
3012	0.8921	0.0	504	3	0.0059	-1.2989	-0.8181	0.0322	0.0808	{"0": 504, "1": 3}	852.0003
3503	0.8741	0.0	484	7	0.0143	-0.0208	-0.2337	0.0291	0.0412	{"0": 484, "1": 7}	1017.7404
4000	0.8565	0.0	490	7	0.0141	-0.3047	-0.3344	0.0213	0.0379	{"0": 490, "1": 7}	1192.2632
514	0.982	0.0	513	1	0.0019	-0.2779	-0.5037	0.0815	0.1401	{"0": 513, "1": 1}	105.0587
1014	0.964	0.0	498	2	0.004	-0.3111	-0.22	0.0166	0.0604	{"0": 498, "1": 2}	208.773
505	0.9824	0.0	497	8	0.0158	-0.7781	-0.5056	0.3181	0.3743	{"0": 497, "1": 8}	102.3471
1003	0.9644	0.0	491	7	0.0141	-0.3375	-0.525	0.0613	0.1189	{"0": 491, "1": 7}	201.6844
1514	0.946	0.0	504	7	0.0137	-0.3631	-0.4712	0.0339	0.0715	{"0": 504, "1": 7}	306.8859
2013	0.9281	0.0	495	4	0.008	-0.1066	-0.0094	0.0271	0.0762	{"0": 495, "1": 4}	406.1951
2504	0.9104	0.0	485	6	0.0122	0.4584	0.1431	0.0244	0.0619	{"0": 485, "1": 6}	511.0604
3003	0.8924	0.0	494	5	0.01	0.0407	-0.1412	0.0223	0.0546	{"0": 494, "1": 5}	627.2279
3507	0.8743	0.0	502	2	0.004	-0.2767	-0.4581	0.0048	0.0234	{"0": 502, "1": 2}	772.0496
4001	0.8565	0.0	486	8	0.0162	-0.1416	-0.2519	0.0384	0.0724	{"0": 486, "1": 8}	909.0025
4506	0.8383	0.0	500	5	0.0099	-0.1614	-0.2206	0.0353	0.0737	{"0": 500, "1": 5}	1013.0173
5003	0.8204	0.0	491	6	0.0121	-0.3416	-0.44	0.0258	0.0526	{"0": 491, "1": 6}	1113.828
5513	0.8021	0.0	508	2	0.0039	-0.0677	-0.0962	0.0071	0.0302	{"0": 508, "1": 2}	1194.2993
