iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count
520	0.9241	0.0	511	9	0.0173	-0.7819	-0.7819	0.5534	0.7111	{"0": 511, "1": 9}
1023	0.8981	0.0	1006	17	0.0159	-0.4137	-0.9075	0.0608	0.1553	{"0": 1006, "1": 17}
1507	0.8735	0.0	1484	23	0.0124	-0.4989	-0.4625	0.0385	0.0654	{"0": 1484, "1": 23}
2020	0.8478	0.0	1986	34	0.0214	-0.2712	-0.0387	0.034	0.0429	{"0": 1986, "1": 34}
2523	0.8229	0.0	2484	39	0.0099	-0.6825	-0.5125	0.0158	0.0342	{"0": 2484, "1": 39}
3010	0.7986	0.0	2962	48	0.0185	0.3229	0.1831	0.0328	0.0528	{"0": 2962, "1": 48}
3509	0.7751	0.0	3453	56	0.016	-0.1315	-0.0825	0.0406	0.0558	{"0": 3453, "1": 56}
4017	0.7509	0.0	3951	66	0.0197	-0.0865	-0.2869	0.056	0.0974	{"0": 3951, "1": 66}
4518	0.7273	0.0	4443	75	0.018	0.0	0.0481	0.0368	0.0627	{"0": 4443, "1": 75}
5020	0.7043	0.0	4935	85	0.0199	-0.285	-0.3944	0.0777	0.1073	{"0": 4935, "1": 85}
5513	0.6818	0.0	5418	95	0.0203	-0.1512	-0.3731	0.0547	0.1468	{"0": 5418, "1": 95}
6005	0.6595	0.0	5901	104	0.0183	0.5298	-0.0769	0.1636	0.1046	{"0": 5901, "1": 104}
6518	0.637	0.0	6403	115	0.0214	-0.1822	-0.3256	0.0295	0.1122	{"0": 6403, "1": 115}
7009	0.6155	0.0	6878	131	0.0326	-0.055	0.1181	0.0992	0.1665	{"0": 6878, "1": 131}
7505	0.5941	0.0	7357	148	0.0343	-0.05	-0.0706	0.0464	0.3271	{"0": 7357, "1": 148}
8008	0.5728	0.0	7854	154	0.0119	0.1075	0.0381	0.0349	0.4388	{"0": 7854, "1": 154}
8502	0.552	0.0	8337	165	0.0223	-0.2125	0.0488	0.0473	0.4904	{"0": 8337, "1": 165}
9005	0.5312	0.0	8831	174	0.0179	0.0018	-0.0119	0.033	1.0012	{"0": 8831, "1": 174}
9501	0.511	0.0	9321	180	0.0121	0.0427	0.13	0.0308	0.8113	{"0": 9321, "1": 180}
10024	0.49	0.0	9836	188	0.0153	0.0788	-0.1475	0.035	0.7255	{"0": 9836, "1": 188}
10514	0.4705	0.0	10318	196	0.0163	0.075	0.1119	0.032	0.675	{"0": 10318, "1": 196}
11020	0.4507	0.0	10805	215	0.0375	-1.7369	-1.9512	0.1014	1.7678	{"0": 10805, "1": 215}
11510	0.4318	0.0	11281	229	0.0286	-1.26	-0.6262	0.093	0.7603	{"0": 11281, "1": 229}
12014	0.4127	0.0	11780	234	0.0099	-1.6714	-2.1031	0.0194	1.7433	{"0": 11780, "1": 234}
12509	0.3941	0.0	12272	237	0.0061	-1.4715	-1.0944	0.0448	2.0676	{"0": 12272, "1": 237}
13009	0.3756	0.0	12756	253	0.032	-1.5031	-1.41	0.0764	1.5179	{"0": 12756, "1": 253}
13509	0.3573	0.0	13254	255	0.004	-1.8316	-2.0456	0.0144	0.2147	{"0": 13254, "1": 255}
14020	0.339	0.0	13755	265	0.0196	-1.9396	-2.0031	0.0496	0.6684	{"0": 13755, "1": 265}
14501	0.3219	0.0	14216	285	0.0416	-1.7937	-1.3094	0.1034	1.2751	{"0": 14216, "1": 285}
15007	0.3038	0.0	14705	302	0.0336	-1.952	-1.5344	0.0614	1.4615	{"0": 14705, "1": 302}
15500	0.2865	0.0	15179	321	0.0385	-1.9031	-2.1356	0.0666	2.5121	{"0": 15179, "1": 321}
16002	0.2694	0.0	15669	333	0.0239	0.6771	-0.7562	0.0487	1.3146	{"0": 15669, "1": 333}
16520	0.2526	0.0	16178	342	0.0174	-0.7475	-1.03	0.0297	0.4169	{"0": 16178, "1": 342}
17008	0.2365	0.0	16653	355	0.0266	0.1475	0.1475	0.0636	1.3002	{"0": 16653, "1": 355}
17513	0.22	0.0	17151	362	0.0139	-2.1541	-2.195	0.0592	0.7399	{"0": 17151, "1": 362}
18018	0.2037	0.0	17633	385	0.0455	-1.7362	-0.9719	0.0686	1.2074	{"0": 17633, "1": 385}
18503	0.1883	0.0	18099	404	0.0392	-1.9475	-2.08	0.061	0.533	{"0": 18099, "1": 404}
19010	0.1724	0.0	18597	413	0.0178	-2.0444	-2.0444	0.0502	0.9028	{"0": 18597, "1": 413}
19506	0.1571	0.0	19073	433	0.0403	-2.32	-2.3262	0.0628	0.9191	{"0": 19073, "1": 433}
20006	0.1418	0.0	19570	436	0.006	-2.2883	-2.3963	0.013	0.2614	{"0": 19570, "1": 436}
20500	0.1263	0.0	20057	443	0.0142	-2.2804	-2.3187	0.0508	0.2896	{"0": 20057, "1": 443}
21008	0.1116	0.0	20560	448	0.0098	-2.2376	-2.0844	0.017	0.3397	{"0": 20560, "1": 448}
21513	0.0972	0.0	21051	462	0.0277	-2.4907	-2.5932	0.0498	0.5292	{"0": 21051, "1": 462}
22006	0.0829	0.0	21539	467	0.0101	0.4532	0.4532	0.0302	0.2589	{"0": 21539, "1": 467}
22508	0.0687	0.0	22040	468	0.002	0.4333	0.4663	0.0258	0.0959	{"0": 22040, "1": 468}
23008	0.0546	0.0	22540	468	0.0	0.4347	0.4969	0.0012	0.0439	{"0": 22540, "1": 468}
23517	0.05	0.0	23047	470	0.0039	0.4675	0.4675	0.0105	0.1712	{"0": 23047, "1": 470}
