iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2002	0.9964	225	770	None	-0.1648	-0.1597	-0.4619	7.029	1.3477	{"0": 770, "10": 6, "-1": 225}	176.437
3000	0.9946	259	730	None	-0.1693	-0.4696	-0.1756	10.0214	1.9495	{"0": 730, "10": 9, "-1": 259}	260.2098
4005	0.9928	264	735	None	-0.203	-0.375	0.0338	12.667	1.8306	{"0": 735, "10": 6, "-1": 264}	341.0753
5004	0.991	227	763	None	-0.1371	-0.1487	-0.1943	22.3373	2.6786	{"0": 763, "10": 9, "-1": 227}	421.2799
6012	0.9892	206	781	None	0.004	-0.4663	-0.5356	54.264	5.3159	{"0": 781, "10": 21, "-1": 206}	507.0686
7003	0.9874	205	779	None	-0.1362	-0.2661	-0.2725	13.9379	1.9574	{"0": 779, "10": 7, "-1": 205}	588.941
8007	0.9856	256	737	None	-0.1454	-0.0755	-0.055	28.8189	3.0004	{"0": 737, "10": 11, "-1": 256}	672.694
9014	0.9838	247	749	None	-0.136	-0.472	0.0463	32.6787	3.0712	{"0": 749, "10": 11, "-1": 247}	761.6034
10011	0.982	224	764	None	-0.1344	0.0229	-0.0918	22.1503	2.4758	{"0": 764, "10": 9, "-1": 224}	842.1735
11009	0.9802	237	755	None	-0.1774	-0.3379	-0.1494	18.444	1.9559	{"0": 755, "10": 6, "-1": 237}	921.147
12007	0.9784	250	731	None	-0.0802	-0.326	-0.2325	51.5066	4.2542	{"0": 731, "10": 17, "-1": 250}	1002.8472
13001	0.9766	202	779	None	-0.0724	-0.3708	-0.3394	35.9243	3.1031	{"0": 779, "10": 13, "-1": 202}	1083.2362
14009	0.9748	246	751	None	-0.1349	-0.1903	-0.1012	26.8493	2.8517	{"0": 751, "10": 11, "-1": 246}	1164.5499
15010	0.973	215	772	None	-0.0749	-0.3672	-0.3537	38.3417	3.16	{"0": 772, "10": 14, "-1": 215}	1244.979
16007	0.9712	256	729	None	-0.1364	-0.5354	-0.2619	25.4899	3.2302	{"0": 729, "10": 12, "-1": 256}	1326.0088
17008	0.9694	237	751	None	-0.1069	0.0079	0.0981	25.9726	3.6884	{"0": 751, "10": 13, "-1": 237}	1441.2766
18003	0.9676	237	747	None	-0.1276	-0.1312	-0.1181	28.8626	2.8595	{"0": 747, "10": 11, "-1": 237}	1524.6767
19009	0.9658	251	744	None	-0.1402	-0.4797	-0.0987	29.3674	3.1022	{"0": 744, "10": 11, "-1": 251}	1607.7076
20006	0.964	263	719	None	-0.1133	-0.4056	-0.2175	41.9591	3.2195	{"0": 719, "10": 15, "-1": 263}	1690.3941
21009	0.9622	227	762	None	-0.0867	-0.3479	-0.3637	38.7321	2.7643	{"0": 762, "10": 14, "-1": 227}	1774.0099
22007	0.9604	264	724	None	-0.1643	-0.4252	-0.4719	22.4052	2.4743	{"0": 724, "10": 10, "-1": 264}	1855.7816
23006	0.9586	238	746	None	-0.0881	-0.3802	-0.0725	32.9258	3.4609	{"0": 746, "10": 15, "-1": 238}	1942.8254
24008	0.9568	226	757	None	-0.0359	-0.3907	-0.14	29.8668	3.3049	{"0": 757, "10": 19, "-1": 226}	2028.5334
25001	0.955	202	783	None	-0.1229	-0.2646	-0.1087	8.4568	2.0752	{"0": 783, "10": 8, "-1": 202}	2111.96
26013	0.9532	233	762	None	-0.0623	-0.2809	-0.3169	23.3346	2.471	{"0": 762, "10": 17, "-1": 233}	2196.7569
27001	0.9514	250	728	None	-0.1518	-0.1694	-0.2575	13.0947	2.3129	{"0": 728, "10": 10, "-1": 250}	2280.7755
28002	0.9496	226	761	None	-0.0859	-0.3562	-0.1087	17.2714	2.6685	{"0": 761, "10": 14, "-1": 226}	2365.0274
29000	0.9478	260	722	None	-0.1002	-0.2543	-0.1	18.7707	2.7855	{"0": 722, "10": 16, "-1": 260}	2450.1457
30001	0.946	234	748	None	-0.044	-0.1514	-0.1225	16.1093	2.5925	{"0": 748, "10": 19, "-1": 234}	2540.039
31002	0.9442	240	745	None	-0.0799	0.0417	0.085	13.1583	2.0983	{"0": 745, "10": 16, "-1": 240}	2626.7994
32003	0.9424	226	761	None	-0.0859	-0.2504	-0.0675	11.7815	1.8735	{"0": 761, "10": 14, "-1": 226}	2711.6466
33014	0.9406	222	777	None	-0.1009	-0.6937	-0.45	6.4759	2.0272	{"0": 777, "10": 12, "-1": 222}	2801.997
34013	0.9388	218	764	None	-0.048	-0.3393	-0.7075	9.889	2.4951	{"0": 764, "10": 17, "-1": 218}	2892.1338
35003	0.937	208	772	None	-0.1091	-0.3604	-0.1456	6.2436	2.1397	{"0": 772, "10": 10, "-1": 208}	2981.5031
36004	0.9352	247	741	None	-0.1169	-0.2917	-0.4887	13.9379	3.6029	{"0": 741, "10": 13, "-1": 247}	3072.0514
37007	0.9334	262	729	None	-0.1416	-0.253	-0.2412	14.8764	3.7722	{"0": 729, "10": 12, "-1": 262}	3162.1668
38009	0.9316	213	770	None	-0.023	0.0568	0.2281	15.1436	5.5372	{"0": 770, "10": 19, "-1": 213}	3252.6557
39003	0.9298	217	755	None	0.003	-0.3488	-0.205	17.2348	3.6641	{"0": 755, "10": 22, "-1": 217}	3336.0261
40012	0.928	244	749	None	-0.0833	-0.395	-0.225	10.6051	4.1467	{"0": 749, "10": 16, "-1": 244}	3419.4779
41004	0.9262	214	761	None	-0.0444	-0.7813	-0.3319	17.1802	4.6577	{"0": 761, "10": 17, "-1": 214}	3501.9373
42002	0.9244	216	761	None	-0.006	-0.3192	-0.4575	15.3046	4.6478	{"0": 761, "10": 21, "-1": 216}	3584.7473
43009	0.9226	206	780	None	0.004	0.05	0.0213	13.8269	4.5292	{"0": 780, "10": 21, "-1": 206}	3667.1944
44005	0.9208	209	770	None	-0.0392	0.1549	0.1969	11.7985	4.9058	{"0": 770, "10": 17, "-1": 209}	3748.35
45001	0.919	228	755	None	-0.0984	-0.501	-0.2219	6.558	6.444	{"0": 755, "10": 13, "-1": 228}	3828.9806
46002	0.9172	221	754	None	0.039	0.1072	-0.1419	11.0413	7.589	{"0": 754, "10": 26, "-1": 221}	3912.7875
47014	0.9154	232	764	None	-0.0711	-0.3929	-0.285	6.1752	6.1908	{"0": 764, "10": 16, "-1": 232}	3995.0125
48005	0.9136	188	785	None	-0.0081	-0.1541	-0.0725	13.6462	7.2927	{"0": 785, "10": 18, "-1": 188}	4076.7289
49003	0.9118	199	784	None	-0.0491	-0.2344	-0.2706	9.2769	7.7954	{"0": 784, "10": 15, "-1": 199}	4157.7484
50014	0.91	221	770	None	-0.0208	-0.3771	-0.2	15.798	8.8775	{"0": 770, "10": 20, "-1": 221}	4241.9481
51001	0.9082	229	739	None	-0.0395	-0.3333	-0.3356	9.1078	10.2805	{"0": 739, "10": 19, "-1": 229}	4324.3024
52009	0.9064	266	735	None	-0.1944	-0.6871	-0.7187	3.2591	14.1992	{"0": 735, "10": 7, "-1": 266}	4404.6278
53002	0.9046	224	759	None	-0.1249	-0.3292	-0.4619	5.6915	15.6911	{"0": 759, "10": 10, "-1": 224}	4485.7119
54009	0.9028	225	769	None	-0.0943	-0.7958	-0.3312	14.6647	17.8821	{"0": 769, "10": 13, "-1": 225}	4569.527
55007	0.901	238	735	None	0.012	-0.5896	-0.4031	26.333	21.0634	{"0": 735, "10": 25, "-1": 238}	4657.038
56009	0.8992	224	760	None	-0.0439	0.0722	0.1225	8.8673	16.682	{"0": 760, "10": 18, "-1": 224}	4740.0491
57002	0.8974	193	780	None	0.007	-0.3666	-0.1244	14.3659	18.3265	{"0": 780, "10": 20, "-1": 193}	4824.1089
58004	0.8956	200	772	None	0.0998	-0.1557	-0.1612	16.9596	16.2926	{"0": 772, "10": 30, "-1": 200}	4908.7828
59000	0.8938	212	764	None	-0.012	-0.0529	0.1532	7.3083	15.7289	{"0": 764, "10": 20, "-1": 212}	4992.2093
60003	0.892	208	769	None	0.0518	-0.0664	-0.1844	12.1995	16.2799	{"0": 769, "10": 26, "-1": 208}	5076.0558
61009	0.8902	192	801	None	-0.0616	-0.0612	-0.1044	6.2774	15.6139	{"0": 801, "10": 13, "-1": 192}	5158.8193
62008	0.8884	223	751	None	0.027	0.1313	0.0119	13.9656	20.1206	{"0": 751, "10": 25, "-1": 223}	5243.2575
63003	0.8866	189	783	None	0.0412	0.2094	0.0607	8.4365	16.9613	{"0": 783, "10": 23, "-1": 189}	5326.441
64008	0.8848	179	801	None	0.0706	-0.0625	0.1044	13.4472	14.9224	{"0": 801, "10": 25, "-1": 179}	5411.3096
65013	0.883	214	770	None	-0.004	0.2709	-0.2169	8.0985	18.5562	{"0": 770, "10": 21, "-1": 214}	5495.1426
66003	0.8812	182	789	None	0.0081	-0.1962	-0.2581	8.5376	15.8573	{"0": 789, "10": 19, "-1": 182}	5577.801
67013	0.8794	209	775	None	0.0505	0.0792	0.185	11.2837	16.3603	{"0": 775, "10": 26, "-1": 209}	5663.0323
68007	0.8776	201	772	None	0.0091	-0.3625	-0.2456	8.7464	14.8852	{"0": 772, "10": 21, "-1": 201}	5746.5094
69005	0.8758	199	768	None	0.1112	-0.0243	-0.1706	13.6401	12.0318	{"0": 768, "10": 31, "-1": 199}	5833.1983
70013	0.874	199	783	None	0.0605	0.1604	0.1856	9.3477	21.1308	{"0": 783, "10": 26, "-1": 199}	5918.6871
71008	0.8722	235	732	None	0.0452	-0.3406	-0.1194	9.6049	23.0795	{"0": 732, "10": 28, "-1": 235}	6003.6139
72008	0.8704	196	785	None	-0.006	-0.2303	-0.2506	7.3183	22.1254	{"0": 785, "10": 19, "-1": 196}	6087.0617
73010	0.8686	209	759	None	0.1307	-0.1312	-0.125	12.7843	20.63	{"0": 759, "10": 34, "-1": 209}	6175.5145
74005	0.8668	172	797	None	0.0884	0.1521	0.16	6.5742	23.6895	{"0": 797, "10": 26, "-1": 172}	6262.9291
75009	0.865	198	788	None	-0.0179	-0.0902	-0.0868	6.9717	20.1872	{"0": 788, "10": 18, "-1": 198}	6349.6466
76001	0.8632	204	758	None	0.0968	-0.0708	-0.0062	11.9993	18.5298	{"0": 758, "10": 30, "-1": 204}	6438.2492
77008	0.8614	195	785	None	0.0745	-0.8818	-0.8875	7.4957	23.6343	{"0": 785, "10": 27, "-1": 195}	6529.2371
78012	0.8596	214	769	None	-0.004	-0.1469	-0.1081	7.1592	21.0013	{"0": 769, "10": 21, "-1": 214}	6617.0138
79014	0.8578	176	797	None	0.1138	0.1125	0.0425	8.0382	22.7471	{"0": 797, "10": 29, "-1": 176}	6706.8452
80010	0.856	217	757	None	0.003	-0.2537	-0.2218	9.2361	25.9947	{"0": 757, "10": 22, "-1": 217}	6796.493
81003	0.8542	231	737	None	0.0191	-0.1479	-0.0887	7.363	21.7658	{"0": 737, "10": 25, "-1": 231}	6884.5237
82001	0.8524	195	785	None	-0.015	-0.2683	-0.1218	5.1971	21.0371	{"0": 785, "10": 18, "-1": 195}	6972.5792
83011	0.8506	218	775	None	-0.0475	-0.2135	-0.3481	4.3056	21.0608	{"0": 775, "10": 17, "-1": 218}	7062.1521
84010	0.8488	201	775	None	0.029	-0.575	-0.0631	8.0298	18.1752	{"0": 775, "10": 23, "-1": 201}	7151.4871
85007	0.847	189	774	None	0.1515	0.0274	-0.0606	9.7285	21.8479	{"0": 774, "10": 34, "-1": 189}	7241.9587
86004	0.8452	210	764	None	0.0201	-0.0583	0.0875	9.0145	25.1479	{"0": 764, "10": 23, "-1": 210}	7332.0266
87002	0.8434	207	763	None	0.0731	-0.2583	-0.3212	6.424	22.2529	{"0": 763, "10": 28, "-1": 207}	7420.9328
88002	0.8416	190	791	None	0.0	-0.0719	-0.0194	5.4359	21.9397	{"0": 791, "10": 19, "-1": 190}	7509.2109
89011	0.8398	196	795	None	-0.0159	-0.15	0.0531	6.3078	21.4988	{"0": 795, "10": 18, "-1": 196}	7599.5592
90001	0.838	194	761	None	0.1576	-0.425	-0.325	10.0478	24.329	{"0": 761, "10": 35, "-1": 194}	7692.9239
91012	0.8362	224	759	None	0.0554	-0.3666	-0.3706	6.9157	25.1471	{"0": 759, "10": 28, "-1": 224}	7781.0891
92013	0.8344	182	793	None	0.0779	-0.1062	-0.055	5.6368	27.5204	{"0": 793, "10": 26, "-1": 182}	7869.4527
93005	0.8326	192	774	None	0.0685	0.2976	0.1163	5.8165	24.4315	{"0": 774, "10": 26, "-1": 192}	7957.7971
94002	0.8308	193	772	None	0.1274	0.1563	0.1732	10.225	22.8052	{"0": 772, "10": 32, "-1": 193}	8046.0814
95010	0.829	192	783	None	0.1369	-0.251	-0.0294	9.3167	24.5971	{"0": 783, "10": 33, "-1": 192}	8136.4123
96011	0.8272	202	777	None	0.018	-0.0052	-0.2375	6.6465	23.4103	{"0": 777, "10": 22, "-1": 202}	8224.5164
97008	0.8254	192	765	None	0.2086	-0.2458	-0.2256	8.2957	29.3511	{"0": 765, "10": 40, "-1": 192}	8315.6048
98006	0.8236	188	783	None	0.0822	-0.1479	-0.0531	9.424	24.1493	{"0": 783, "10": 27, "-1": 188}	8404.1687
99005	0.8218	197	772	None	0.1031	-0.0329	0.01	7.4673	24.1494	{"0": 772, "10": 30, "-1": 197}	8492.4172
100002	0.82	208	769	None	-0.008	-0.4224	-0.2425	6.79	24.4742	{"0": 769, "10": 20, "-1": 208}	8580.1771
101002	0.8182	201	772	None	0.069	-0.0687	-0.1587	7.2856	23.6327	{"0": 772, "10": 27, "-1": 201}	8669.8982
102011	0.8164	199	773	None	0.1695	-0.1694	-0.0956	9.5149	27.8217	{"0": 773, "10": 37, "-1": 199}	8759.8558
103014	0.8146	203	769	None	0.1067	-0.3486	-0.2562	11.0591	25.1808	{"0": 769, "10": 31, "-1": 203}	8850.389
104002	0.8128	185	777	None	0.0759	-0.0861	-0.0643	8.037	23.4368	{"0": 777, "10": 26, "-1": 185}	8937.9644
105007	0.811	195	778	None	0.1244	-0.3469	-0.0937	7.8595	29.8266	{"0": 778, "10": 32, "-1": 195}	9027.1965
106008	0.8092	194	778	None	0.0959	-0.2292	-0.2044	9.153	27.4817	{"0": 778, "10": 29, "-1": 194}	9116.8778
107005	0.8074	209	763	None	0.0411	-0.7896	-0.565	7.367	26.2337	{"0": 763, "10": 25, "-1": 209}	9205.2191
108013	0.8056	198	779	None	0.1111	0.0077	0.0644	6.762	28.4384	{"0": 779, "10": 31, "-1": 198}	9294.1273
109002	0.8038	231	726	None	0.09	-0.4865	-0.2537	8.9528	26.2623	{"0": 726, "10": 32, "-1": 231}	9381.4536
110007	0.802	210	760	None	0.1393	0.2646	-0.12	11.0775	23.9778	{"0": 760, "10": 35, "-1": 210}	9472.4028
111014	0.8002	216	760	None	0.0933	0.0889	0.0788	8.3249	30.2343	{"0": 760, "10": 31, "-1": 216}	9561.6595
112004	0.7984	195	763	None	0.1263	-0.0656	-0.0668	10.6878	23.5604	{"0": 763, "10": 32, "-1": 195}	9651.8707
113008	0.7966	188	786	None	0.1116	0.25	0.1625	8.3256	32.5009	{"0": 786, "10": 30, "-1": 188}	9742.71
114012	0.7948	196	766	None	0.2231	-0.175	-0.0131	11.2633	28.551	{"0": 766, "10": 42, "-1": 196}	9836.6228
115001	0.793	200	766	None	0.0303	0.2273	0.1375	4.4426	28.1787	{"0": 766, "10": 23, "-1": 200}	9924.5497
116005	0.7912	192	785	None	0.0777	-0.2363	-0.4037	5.6976	24.4399	{"0": 785, "10": 27, "-1": 192}	10014.9751
117008	0.7894	184	786	None	0.1456	0.0129	0.1057	9.249	24.6456	{"0": 786, "10": 33, "-1": 184}	10106.6036
118014	0.7876	176	795	None	0.173	-0.375	0.0675	8.3293	26.5894	{"0": 795, "10": 35, "-1": 176}	10197.7786
119013	0.7858	168	795	None	0.1922	0.0472	0.0538	8.0667	32.3413	{"0": 795, "10": 36, "-1": 168}	10288.0084
120004	0.784	192	770	None	0.0989	-0.6312	-0.5969	8.8216	25.4406	{"0": 770, "10": 29, "-1": 192}	10378.5762
121008	0.7822	179	789	None	0.1803	-0.1666	-0.0256	8.3612	26.2178	{"0": 789, "10": 36, "-1": 179}	10469.6384
122003	0.7804	157	812	None	0.1035	-0.2475	0.0813	4.8096	29.37	{"0": 812, "10": 26, "-1": 157}	10558.9391
123002	0.7786	166	801	None	0.1542	-0.441	-0.1475	8.8283	25.625	{"0": 801, "10": 32, "-1": 166}	10655.7023
124002	0.7768	198	758	None	0.242	0.0337	-0.0137	13.082	27.9364	{"0": 758, "10": 44, "-1": 198}	10748.8933
125001	0.775	179	787	None	0.1512	-0.3917	0.1563	9.8426	25.4028	{"0": 787, "10": 33, "-1": 179}	10839.4926
126012	0.7732	191	789	None	0.1177	0.2521	0.1231	9.084	23.7357	{"0": 789, "10": 31, "-1": 191}	10931.6676
127001	0.7714	176	776	None	0.1962	0.1938	0.11	9.2322	27.5813	{"0": 776, "10": 37, "-1": 176}	11024.1053
128013	0.7696	194	783	None	0.1542	-0.5771	-0.4619	7.373	30.7398	{"0": 783, "10": 35, "-1": 194}	11116.3282
129012	0.7678	205	761	None	0.1251	-0.0118	0.0569	9.0268	24.12	{"0": 761, "10": 33, "-1": 205}	11206.7869
130003	0.766	167	784	None	0.2351	0.2917	0.3463	9.8414	29.7988	{"0": 784, "10": 40, "-1": 167}	11298.2884
131008	0.7642	189	781	None	0.1602	-0.1208	0.1531	10.1733	32.0678	{"0": 781, "10": 35, "-1": 189}	11390.4381
132006	0.7624	181	774	None	0.2495	-0.1319	-0.4669	9.0611	34.967	{"0": 774, "10": 43, "-1": 181}	11483.8595
133000	0.7606	178	781	None	0.173	-0.3937	-0.2344	8.6774	29.2235	{"0": 781, "10": 35, "-1": 178}	11577.6151
134003	0.7588	183	791	None	0.1067	-0.3708	0.0444	6.1423	29.2035	{"0": 791, "10": 29, "-1": 183}	11669.6724
135011	0.757	199	767	None	0.2192	-0.6979	-0.2275	12.6986	25.9224	{"0": 767, "10": 42, "-1": 199}	11763.8862
136002	0.7552	216	737	None	0.1655	0.2771	-0.4587	10.0346	31.1874	{"0": 737, "10": 38, "-1": 216}	11856.3182
137014	0.7534	202	780	None	0.0968	-0.376	-0.2237	9.074	27.997	{"0": 780, "10": 30, "-1": 202}	11947.7298
138002	0.7516	197	760	None	0.1144	0.0875	0.11	9.9346	28.434	{"0": 760, "10": 31, "-1": 197}	12038.2831
139006	0.7498	187	786	None	0.1225	0.025	-0.0037	9.8857	28.8475	{"0": 786, "10": 31, "-1": 187}	12129.9497
